"Plot Title:  10570397"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10570397, SEN S/N: 10570397)","RH, % (LGR S/N: 10570397, SEN S/N: 10570397)","DewPt, °C (LGR S/N: 10570397, SEN S/N: 10570397)","Coupler Detached (LGR S/N: 10570397)","End Of File (LGR S/N: 10570397)"
1,07/06/18 11:23:00 AM,26.524,41.503,12.736,Logged,
2,07/06/18 11:23:10 AM,26.524,41.404,12.699,,
3,07/06/18 11:23:20 AM,26.524,41.536,12.748,,
4,07/06/18 11:23:30 AM,26.524,41.240,12.638,,
5,07/06/18 11:23:40 AM,26.524,40.319,12.293,,
6,07/06/18 11:23:50 AM,26.524,40.648,12.417,,
7,07/06/18 11:24:00 AM,26.524,41.798,12.844,,
8,07/06/18 11:24:10 AM,26.524,41.995,12.916,,
9,07/06/18 11:24:20 AM,26.549,41.637,12.807,,
10,07/06/18 11:24:30 AM,26.549,41.341,12.698,,
11,07/06/18 11:24:40 AM,26.573,41.180,12.660,,
12,07/06/18 11:24:50 AM,26.573,41.048,12.611,,
13,07/06/18 11:25:00 AM,26.598,40.985,12.609,,
14,07/06/18 11:25:10 AM,26.598,40.919,12.585,,
15,07/06/18 11:25:20 AM,26.622,40.856,12.583,,
16,07/06/18 11:25:30 AM,26.622,40.823,12.571,,
17,07/06/18 11:25:40 AM,26.646,40.793,12.581,,
18,07/06/18 11:25:50 AM,26.646,40.760,12.569,,
19,07/06/18 11:26:00 AM,26.671,40.730,12.579,,
20,07/06/18 11:26:10 AM,26.671,40.730,12.579,,
21,07/06/18 11:26:20 AM,26.695,40.700,12.590,,
22,07/06/18 11:26:30 AM,26.695,40.667,12.578,,
23,07/06/18 11:26:40 AM,26.720,40.669,12.600,,
24,07/06/18 11:26:50 AM,26.720,40.669,12.600,,
25,07/06/18 11:27:00 AM,26.720,40.636,12.588,,
26,07/06/18 11:27:10 AM,26.720,40.603,12.576,,
27,07/06/18 11:27:20 AM,26.744,40.606,12.599,,
28,07/06/18 11:27:30 AM,26.744,40.573,12.586,,
29,07/06/18 11:27:40 AM,26.744,40.540,12.574,,
30,07/06/18 11:27:50 AM,26.769,40.543,12.597,,
31,07/06/18 11:28:00 AM,26.769,40.510,12.584,,
32,07/06/18 11:28:10 AM,26.769,40.510,12.584,,
33,07/06/18 11:28:20 AM,26.769,40.477,12.572,,
